Symbol,Stock Name,Median Target,High Estimate,Low Estimate,Median Estimate,Last Price,Analyst Count,Intrinsic Value,Previous Close,Discounted EBIT,Terminal Value,Enterprise Value,WACC,Len EBIT Available,FCF Year 1,FCF Year 2,FCF Year 3,FCF Year 4,FCF Year 5
NAVI, navient,17,20,14,-2.75%,17.48.,10,,,,,,,,,,,,
NB, 89bio,8,8,8,+190.22%,3.02.,1,,,,,,,,,,,,
NBHC, national-bank-holdings,40,45,40,+12.52%,35.55.,5,,,,,,,,,,,,
NBIX, neurocrine-biosciences,141,170,100,+0.41%,140.42.,29,144.944,142.14999389648438,"[207882185, 221003440, 234952892, 229526736, 265548783]",(14412141775.561337+0j),13150000000.0,0.05809317969146808,5.0,207882185.0,221003440.0,234952892.0,229526736.0,(14412141775.561337+0j)
NBN, northeast-bank,66,66,66,+22.27%,53.98.,1,,,,,,,,,,,,
NBR, nabors-industries,115,160,88,+44.31%,79.69.,12,36.714,87.41999816894531,"[-381084680, -394230434, -407829661, 381906105, 436451638]",(8017119213.414011+0j),2930000000.0,0.03950000000000001,5.0,-381084680.0,-394230434.0,-407829661.0,381906105.0,(8017119213.414011+0j)
NBTB, nbt-bancorp,43,46,34,+10.88%,39.23.,6,,,,,,,,,,,,
NC, nacco-industries,38,38,38,+5.59%,36.74.,1,592.179,36.5,"[76385458, 90726059, 107758962, 103664225, 152018383]",(4671124936.708859+0j),4379119762.0,0.03950000000000001,5.0,76385458.0,90726059.0,107758962.0,103664225.0,(4671124936.708859+0j)
NCLH, norwegian-cruise-line,18,25,14,+3.39%,17.41.,19,16.37,17.219999313354492,"[-16059283681, -23487923468, -34352874000, 37872463275, 73485217364]",(-14881125866.418482+116339822879.41307j),20520000000.0,0.0654903015315947,5.0,-16059283681.0,-23487923468.0,-34352874000.0,37872463275.0,(-14881125866.418482+116339822879.41307j)
NCNO, ncino,35,42,24,+6.03%,33.01.,17,30.814,31.520000457763672,"[-109020165, -130520009, -156259831, -187075799, -190417344]",(-23646389841.808136+0j),3530000000.0,0.09513404448770198,6.0,-109020165.0,-130520009.0,-156259831.0,-187075799.0,(-23646389841.808136+0j)
NCPL, netcapital,0,0,0,+208.48%,0.19.,1,,,,,,,,,,,,
NCR, ncr-corporation,20,23,14,+28.87%,15.52.,8,,,,,,,,,,,,
NCSM, ncs-multistage,34,34,34,+128.34%,14.89.,1,-146.355,16.030000686645508,"[-25014048, -27266474, 29721723, -32843958, 35315388]",(-392527744.5906929+0j),-343493233.0,0.03950000000000001,5.0,-25014048.0,-27266474.0,29721723.0,-32843958.0,(-392527744.5906929+0j)
NDAQ, nasdaq,61,82,54,+4.48%,58.39.,17,73.913,58.619998931884766,"[1544426607, 1495867814, 1448835773, 1367617808, 1359161445]",(31543977335.014553+0j),38320000000.0,0.06799590381138573,5.0,1544426607.0,1495867814.0,1448835773.0,1367617808.0,(31543977335.014553+0j)
NDLS, noodles-company,4,5,4,+80.61%,2.63.,4,3.555,2.7100000381469727,"[-7169723, 7516489, -7880026, 7726481, 8660699]",(518967953.7409992+0j),436434599.0,0.03950000000000001,5.0,-7169723.0,7516489.0,-7880026.0,7726481.0,(518967953.7409992+0j)
NDRA, chandra-asri-petrochemical,11,11,11,+978.43%,1.02.,1,,,,,,,,,,,,
NDSN, nordson,275,300,245,+8.47%,254.43.,11,145.752,252.1999969482422,"[598960881, 588781208, 578774545, 568937951, 543180178]",(17298795419.717182+0j),16150000000.0,0.07333843160560859,6.0,598960881.0,588781208.0,578774545.0,568937951.0,(17298795419.717182+0j)
NE, noble-corp,60,70,52,+34.50%,44.61.,14,,,,,,,,,,,,
NEE, nextera-energy,70,84,46,+22.89%,57.37.,22,64.531,58.47999954223633,"[4957244912, 4929784124, 4902475457, 4707303154, 4848311115]",(152539381511.77713+0j),190500000000.0,0.05790961621510679,5.0,4957244912.0,4929784124.0,4902475457.0,4707303154.0,(152539381511.77713+0j)
NEGG, newegg,3,3,3,+258.08%,0.84.,1,-0.164,0.8100000023841858,"[2012938, 1807633, -1623268, -1561585, 1309032]",(40223113.92405063+0j),35084804.0,0.03950000000000001,5.0,2012938.0,1807633.0,-1623268.0,-1561585.0,(40223113.92405063+0j)
NEM, newmont,49,59,39,+40.59%,35.35.,23,49.284,34.209999084472656,"[1609867798, 1524587516, 1443824825, -1351160100, 1294907649]",(26306897465.905403+0j),42300000000.0,0.06858160238539197,5.0,1609867798.0,1524587516.0,1443824825.0,-1351160100.0,(26306897465.905403+0j)
NEO, neogenomics,19,26,17,+18.97%,15.97.,13,12.442,15.609999656677246,"[-56418843, -54126861, -51927990, -28274657, 47794602]",(148692840.20857838+0j),2190000000.0,0.0910647109683814,5.0,-56418843.0,-54126861.0,-51927990.0,-28274657.0,(148692840.20857838+0j)
NEOG, neogen,19,19,19,+13.26%,16.77.,2,15.097,16.139999389648438,"[108444903, 119683476, 132086746, 145775416, 138467902]",(5038689464.23851+0j),4150000000.0,0.07303457119751051,6.0,108444903.0,119683476.0,132086746.0,145775416.0,(5038689464.23851+0j)
NEON, infineon,4,4,4,+127.27%,1.98.,1,131.581,1.8200000524520874,"[-5688666, -5375057, -5078738, -5067194, 4534205]",(2329233996.088539+0j),1902393823.0,0.03950000000000001,5.0,-5688666.0,-5375057.0,-5078738.0,-5067194.0,(2329233996.088539+0j)
NEOV, neovolta,5,5,5,+192.40%,1.71.,1,,,,,,,,,,,,
NEP, nextera-energy-partners,33,50,15,+18.53%,27.84.,15,39.561,28.809999465942383,"[323240778, 335203159, 347608240, 324587415, 373812640]",(7071774636.544932+0j),8710000000.0,0.057977202033465666,5.0,323240778.0,335203159.0,347608240.0,324587415.0,(7071774636.544932+0j)
NEPH, smith-and-nephew,4,4,4,+26.05%,3.57.,2,9.241,3.5799999237060547,"[-4076292, -4126389, -4177103, -4018377, 4280408]",(131525696.20253162+0j),96247023.0,0.03950000000000001,5.0,-4076292.0,-4126389.0,-4177103.0,-4018377.0,(131525696.20253162+0j)
NERV, minerva-neurosciences,11,11,11,+42.86%,7.70.,1,,,,,,,,,,,,
NET, cloudflare,76,110,45,-9.47%,83.95.,33,81.079,80.18000030517578,"[-272150230, -314157384, -362648460, -351241105, 483240104]",(25696653534.273834+0j),26770000000.0,0.13724275626888952,5.0,-272150230.0,-314157384.0,-362648460.0,-351241105.0,(25696653534.273834+0j)
